ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
MIA,Miami International Airport,Miami,FL,25.79325,-80.29056,1,68301,7.040805,12.413332,22.371561,1.129202059387664,18.412,1060.8029,5.826191,36.809643,33.420597,23.660807,2.966179029091085,1.5317795327736674
MKE,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658,1,29172,2.5723295,7.680241,16.44385,1.9346186085498742,13.737659,695.911,5.0351677,25.734907,43.33911,25.862085,-0.08241220069660246,0.20672673802920677
MKG,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822,0,618,6.6003237,8.5550165,20.873787,7.34632683658171,14.338188,118.0,1.5195919,12.232715,64.55009,21.697601,0.578064611885424,-4.115965726343637
MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581,2,1322,2.1717095,8.812406,12.632375,0.37537537537537535,14.559002,442.0,3.9192662,35.69908,38.238533,22.14312,-0.48571990525188,1.5065153548812802
MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754,1,3619,7.1937,8.818182,19.977894,3.8919777601270846,13.592153,424.31778,5.0898695,28.042612,41.590916,25.245752,1.290142385303258,-1.0655520860637724
MLU,Monroe Regional Airport,Monroe,LA,32.51087,-92.03769,1,2876,7.4627957,7.6988873,17.55911,2.465383316447146,12.167942,348.32788,2.0558124,32.848965,47.517612,17.497799,0.19064732278136956,-0.7704993422583435
MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283,1,4905,7.166361,7.0489297,18.185526,1.9131127939418093,12.964322,411.04138,2.557107,29.105368,44.601364,23.711193,0.4074193410057305,-0.5132931961103468
MOT,Minot International Airport,Minot,ND,48.25938,-101.28033,2,1820,2.8747253,4.925824,14.67033,1.4594594594594594,17.6,534.33514,18.5669,23.340698,42.435883,15.584477,-0.7187875260677581,0.6644189333665053
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295,0,2836,6.208392,7.3543725,16.960508,4.5057162071284464,14.438646,287.24435,0.99328077,21.226994,55.24394,22.515337,0.05342630600261805,-1.896649855898682
MSN,Dane County Regional Airport,Madison,WI,43.13986,-89.33751,0,8830,3.0346546,5.4822197,15.76444,3.1089217296113847,13.528879,409.53918,3.4686308,24.344147,45.742046,26.445177,-0.5425342789737834,-0.5410562313725886
MSO,Missoula International Airport,Missoula,MT,46.91631,-114.09056,2,2053,-1.3185582,1.7077447,10.326352,0.91478093403948,14.918655,639.70386,2.898008,34.88093,45.30478,16.916279,-2.4675428520502507,1.8528151057636995
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,1,111055,1.9675926,7.205556,15.731845,0.7206757226825549,17.474667,810.7861,3.479088,35.71244,32.057087,28.68773,0.5561374055142079,2.2943809642852746
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803,1,38292,3.7655907,8.651442,16.329782,1.0591691578187816,10.969863,736.06067,4.9565797,21.230047,49.265358,24.277445,-0.44402802411991493,-0.47887194528681987
MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383,0,966,2.537267,4.9875774,17.391304,2.897102897102897,15.362319,596.66254,1.2349067,18.770582,61.269665,18.63337,-0.9498621668494267,-1.1361525755481265
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833,1,4725,7.5925927,9.612275,21.354498,2.0285655143862553,11.226031,500.11725,2.1833994,15.551498,45.842102,36.401337,1.2620864259491582,-1.7432409174366257
OAJ,Albert J. Ellis Airport,Jacksonville,NC,34.82916,-77.61214,1,1118,9.36762,10.2898035,17.44186,1.3204225352112675,13.63059,399.0,0.0,39.058105,48.636086,12.30581,0.7777737249904546,-0.14378512843280325
OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072,1,41669,6.6541796,9.52845,19.6621,1.3540977408072596,10.690993,714.2511,1.9174769,33.544827,49.654053,14.760576,0.41217820280230827,-0.4847391639199609
OGG,Kahului Airport,Kahului,HI,20.89865,-156.43046,2,20477,1.0718856,3.4911363,12.452996,0.6108498569835652,9.617815,1251.9626,2.3155608,38.046024,51.819313,7.6215158,-2.3173146115408967,1.3776151375527879
OKC,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073,1,15797,5.068304,8.606824,16.794329,1.8582755203171457,13.110654,595.1879,7.822331,27.136803,45.69288,19.328526,0.06931326660487035,-0.25382953827221444
OMA,Eppley Airfield,Omaha,NE,41.30252,-95.89417,1,16442,3.7209585,7.6925554,16.141588,1.5698680833283591,13.345639,651.58734,5.751755,30.104845,40.490036,23.64257,0.014101796944240835,0.4979979701607307
OME,Nome Airport,Nome,AK,64.5122,-165.44525,0,632,7.890823,5.439873,21.202532,4.072398190045249,7.1392407,513.6519,3.3430905,19.27284,63.934677,10.198737,-0.7684655937586949,-3.417176282980043
ONT,Ontario International Airport,Ontario,CA,34.056,-117.60119,1,17769,4.1399627,8.311216,16.24177,1.0123484258538213,11.501998,548.2574,2.2887847,27.192692,52.379208,17.725868,-0.6760004349958901,-0.44301170738613493
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,1,276554,8.60079,14.033679,23.378798,2.990023925788082,19.533878,722.2123,10.116037,30.182007,36.960125,22.67727,3.4531327987728795,0.04942342155811371
