ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
STT,Cyril E. King Airport,Charlotte Amalie,VI,18.33731,-64.97336,1,4171,4.082714,11.082234,18.22105,1.1269549218031278,13.997602,1198.578,1.3636519,32.115707,50.61364,15.653019,0.6273403299491945,0.6549848202369157
STX,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856,1,932,4.780043,7.6877685,19.527897,0.3194888178913738,12.232833,799.1835,0.0,39.61174,44.583332,15.445076,0.24088022840980455,0.8335092983384226
SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659,0,867,1.4521338,4.306805,13.49481,9.205020920502092,14.178778,328.10727,8.116149,22.349161,45.412354,23.860527,-0.7026162302810398,-1.9954176847381153
SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437,1,589,6.960951,9.6383705,19.524618,4.67741935483871,14.716469,436.0,15.822784,24.112886,22.369785,37.455906,2.347472441721451,-0.4437667941479514
SWF,Stewart International Airport,Newburgh,NY,41.50409,-74.10484,1,678,7.0442476,10.151917,19.61652,1.7266187050359711,14.629793,1037.9292,1.7188277,52.051662,25.524096,20.705416,2.289391802268062,2.3042188575240594
SYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631,1,5447,0.48356894,6.214797,15.972095,2.6034236804564905,16.486874,546.2675,0.81953967,27.048038,38.212852,33.919567,0.056778813609892585,0.7838332472691895
TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033,1,3141,3.8653295,7.2677493,15.313595,1.3149655604257984,13.538363,356.44794,2.1265059,31.126505,48.816265,17.870481,-0.66764597878158,0.0187800895145948
TOL,Toledo Express Airport,Toledo,OH,41.58681,-83.80783,0,897,-2.64437,3.8885174,15.273132,6.756756756756757,12.548495,213.0,0.9186646,15.258795,40.6341,43.18844,-0.9257597669765588,-1.561761414194048
TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325,1,63077,5.058706,10.111784,17.389856,0.9764341376396584,12.38851,863.0012,5.861496,24.82025,46.985714,22.301016,0.34315057121432807,-0.06935771551009942
TRI,Tri-Cities Regional Airport,Bristol,TN,36.47521,-82.40742,1,1906,4.0619097,5.8315845,15.582372,1.0892116182572613,15.305876,227.0,2.681621,33.83125,40.48942,22.997705,-0.28175022242912073,0.7002369197704795
TTN,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347,1,2771,11.990256,14.199928,23.204618,1.802120141342756,13.84049,748.2385,2.059643,26.735825,42.666992,28.537542,3.1547464178610523,-0.9504031232309464
TUL,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824,1,13701,4.2563314,7.5687175,16.845486,1.6535433070866141,13.150573,507.91525,6.900015,23.090145,47.41241,22.499697,-0.254338613110596,-0.48324497498574837
TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103,2,14922,2.442367,5.759885,14.569093,1.0187206456307467,12.871599,703.01013,2.8284056,28.816584,43.206127,25.12488,-0.7799545384324557,0.7296578290482776
TVC,Cherry Capital Airport,Traverse City,MI,44.74144,-85.58224,0,2660,1.9323308,5.06203,14.661654,3.3381712626995643,14.268045,243.5312,4.7538867,23.110268,40.33818,31.783333,-0.5863882890307969,-0.3217919488222265
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,42.4818,-114.48774,2,805,-1.5801243,-0.8757764,10.434783,1.1042944785276074,11.881988,175.0,5.451748,11.409101,52.29721,30.402285,-3.545712296397088,-0.5315507110904237
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.45371,-93.99102,0,918,5.261438,4.7570806,15.46841,6.134969325153374,8.954248,181.0,11.567084,30.044651,37.093346,21.071655,-0.5151534617348229,-1.6650874517869159
TYR,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239,0,2199,6.6489315,6.965439,17.462482,4.3478260869565215,10.582083,120.5025,5.739904,26.747387,48.23143,19.260098,-0.18774764714222045,-2.003960391069981
TYS,McGhee Tyson Airport,Knoxville,TN,35.81249,-83.99286,1,6754,8.184039,10.560705,20.8321,2.470199626597731,14.750962,532.1408,2.0896685,35.725433,33.201626,28.980272,2.287873187383038,0.20838933651851888
VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672,1,925,7.0864863,7.3178377,15.459459,0.8556149732620321,11.902702,208.0,0.0,36.029335,43.89325,20.077415,-0.22319569938920675,0.0282336371484081
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254,1,4744,5.6804385,9.611299,16.610455,2.0336894001643384,14.752951,439.5759,5.4002843,32.395172,43.390125,18.714779,0.5179949950500573,0.07694401027416607
WRG,Wrangell Airport,Wrangell,AK,56.48433,-132.36982,0,649,4.66718,2.953775,16.486902,1.6566265060240966,7.8027735,56.46071,0.46041882,9.549977,81.50899,8.035051,-3.2778202307111597,-3.7989813826255383
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,1,8963,11.2338505,11.810889,21.93462,3.188624367122697,14.677564,527.8583,7.9011836,25.230364,38.428757,28.432312,2.7487377650666236,-1.1545185917972534
YAK,Yakutat Airport,Yakutat,AK,59.50336,-139.66023,0,650,-5.6323075,-6.5076923,10.923077,0.7552870090634441,7.9061537,205.95692,2.1205356,4.073661,84.905136,8.90067,-6.919840026666112,-2.4167045319188034
YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597,2,1854,2.1844661,1.2324704,10.248112,1.2253596164091636,14.348435,160.0,3.1570032,36.505737,45.969044,14.298914,-2.408710310170583,0.9976423207089951
